,Name,vCPU,"RAM, GB","Price per hour, INR (ex GST)","SSD storage, GB","HDD storage, GB"
0,c1.c1r05,1.0,0.5,0.017,0.0,0.0
1,c1.c1r1,1.0,1.0,0.039,0.0,0.0
2,c1.c1r2,1.0,2.0,0.062,0.0,0.0
3,c1.c1r4,1.0,4.0,0.098,0.0,0.0
4,c1.c2r1,2.0,1.0,0.07,0.0,0.0
5,c1.c2r2,2.0,2.0,0.088,0.0,0.0
6,c1.c2r4,2.0,4.0,0.124,0.0,0.0
7,c1.c2r6,2.0,6.0,0.16,0.0,0.0
8,c1.c2r8,2.0,8.0,0.196,0.0,0.0
9,c1.c2r16,2.0,16.0,0.339,0.0,0.0
10,c1.c4r2,4.0,2.0,0.14,0.0,0.0
11,c1.c4r4,4.0,4.0,0.176,0.0,0.0
12,c1.c4r6,4.0,6.0,0.212,0.0,0.0
13,c1.c4r8,4.0,8.0,0.248,0.0,0.0
14,c1.c4r16,4.0,16.0,0.391,0.0,0.0
15,c1.c4r24,4.0,24.0,0.535,0.0,0.0
16,c1.c4r32,4.0,32.0,0.678,0.0,0.0
17,c1.c8r4,8.0,4.0,0.28,0.0,0.0
18,c1.c8r6,8.0,6.0,0.316,0.0,0.0
19,c1.c8r8,8.0,8.0,0.352,0.0,0.0
20,c1.c8r16,8.0,16.0,0.496,0.0,0.0
21,c1.c8r24,8.0,24.0,0.64,0.0,0.0
22,c1.c8r32,8.0,32.0,0.783,0.0,0.0
23,c1.c8r64,8.0,64.0,1.112,0.0,0.0
24,c1.c16r8,16.0,8.0,0.566,0.0,0.0
25,c1.c16r16,16.0,16.0,0.711,0.0,0.0
26,c1.c16r24,16.0,24.0,0.856,0.0,0.0
27,c1.c16r32,16.0,32.0,1.001,0.0,0.0
28,c1.c16r64,16.0,64.0,1.352,0.0,0.0
29,c1.c16r96,16.0,96.0,1.599,0.0,0.0
30,c1.c16r128,16.0,128.0,1.845,0.0,0.0
31,c1.c16r256,16.0,256.0,3.176,0.0,0.0
32,c1.c32r16,32.0,16.0,1.057,0.0,0.0
33,c1.c32r24,32.0,24.0,1.159,0.0,0.0
34,c1.c32r32,32.0,32.0,1.26,0.0,0.0
35,c1.c32r64,32.0,64.0,1.586,0.0,0.0
36,c1.c32r96,32.0,96.0,1.816,0.0,0.0
37,c1.c32r128,32.0,128.0,2.191,0.0,0.0
38,c1.c32r256 (beta),32.0,256.0,3.688,0.0,0.0
39,c1.c32r512 (beta),32.0,512.0,6.352,0.0,0.0
40,c1.c64r256 (beta),64.0,256.0,4.381,0.0,0.0
41,c1.c64r512 (beta),64.0,512.0,6.916,0.0,0.0
42,c1.c64r768 (beta),64.0,768.0,9.81,0.0,0.0
43,c1.c64r1024 (beta),64.0,1024.0,12.703,0.0,0.0
44,c1.c64r1280 (beta),64.0,1280.0,15.596,0.0,0.0
