,Name,vCPU,"RAM, GB","HDD storage, GB","SSD storage, GB","Catalyst price per hour, INR (ex GST)","AWS price per hour, INR (ex GST)","Azure price per hour, INR (ex GST)"
0,c1.c1r05,1.0,0.5,0.0,0.0,0.12063536913022382,0.9163773838191533,0.017
1,c1.c1r1,1.0,1.0,0.0,0.0,0.1259997191436709,1.2862060361227974,0.039
2,c1.c1r2,1.0,2.0,0.0,0.0,0.13672841917056502,2.0258633407300852,0.062
3,c1.c1r4,1.0,4.0,0.0,0.0,0.15818581922435326,3.5051779499446614,0.098
4,c1.c2r1,2.0,1.0,0.0,0.0,0.1512483255245166,1.269940932206659,0.07
5,c1.c2r2,2.0,2.0,0.0,0.0,0.16197702555141075,2.009598236813947,0.08800000000000001
6,c1.c2r4,2.0,4.0,0.0,0.0,0.18343442560519901,3.4889128460285233,0.124
7,c1.c2r6,2.0,6.0,0.0,0.0,0.20489182565898728,4.968227455243099,0.16
8,c1.c2r8,2.0,8.0,0.0,0.0,0.22634922571277552,6.447542064457675,0.196
9,c1.c2r16,2.0,16.0,0.0,0.0,0.31217882592792856,12.364800501315978,0.33899999999999997
10,c1.c4r2,4.0,2.0,0.0,0.0,0.2124742383131022,1.9770680289816707,0.14
11,c1.c4r4,4.0,4.0,0.0,0.0,0.23393163836689046,3.4563826381962466,0.17600000000000002
12,c1.c4r6,4.0,6.0,0.0,0.0,0.2553890384206787,4.935697247410823,0.212
13,c1.c4r8,4.0,8.0,0.0,0.0,0.276846438474467,6.415011856625399,0.248
14,c1.c4r16,4.0,16.0,0.0,0.0,0.36267603868962,12.332270293483703,0.391
15,c1.c4r24,4.0,24.0,0.0,0.0,0.448505638904773,18.249528730342007,0.535
16,c1.c4r32,4.0,32.0,0.0,0.0,0.5343352391199261,24.166787167200308,0.6779999999999999
17,c1.c8r4,8.0,4.0,0.0,0.0,0.33492606389027335,3.3913222225316937,0.28
18,c1.c8r6,8.0,6.0,0.0,0.0,0.3563834639440616,4.870636831746269,0.316
19,c1.c8r8,8.0,8.0,0.0,0.0,0.3778408639978499,6.3499514409608455,0.35200000000000004
20,c1.c8r16,8.0,16.0,0.0,0.0,0.46367046421300295,12.26720987781915,0.496
21,c1.c8r24,8.0,24.0,0.0,0.0,0.549500064428156,18.184468314677453,0.64
22,c1.c8r32,8.0,32.0,0.0,0.0,0.635329664643309,24.101726751535757,0.7829999999999999
23,c1.c8r64,8.0,64.0,0.0,0.0,0.9786480655039211,47.77076049896897,1.112
24,c1.c16r8,16.0,8.0,0.0,0.0,0.5798297150446157,6.21983060963174,0.5660000000000001
25,c1.c16r16,16.0,16.0,0.0,0.0,0.6656593152597687,12.137089046490043,0.711
26,c1.c16r24,16.0,24.0,0.0,0.0,0.7514889154749218,18.054347483348348,0.856
27,c1.c16r32,16.0,32.0,0.0,0.0,0.8373185156900749,23.971605920206652,1.001
28,c1.c16r64,16.0,64.0,0.0,0.0,1.180636916550687,47.64063966763987,1.3519999999999999
29,c1.c16r96,16.0,96.0,0.0,0.0,1.523955317411299,71.30967341507309,1.599
30,c1.c16r128,16.0,128.0,0.0,0.0,1.8672737182719112,94.97870716250628,1.845
31,c1.c16r256,16.0,256.0,0.0,0.0,3.2405473217143594,189.65484215223915,3.176
32,c1.c32r16,32.0,16.0,0.0,0.0,1.0696370173533003,11.876847383831832,1.057
33,c1.c32r24,32.0,24.0,0.0,0.0,1.1554666175684534,17.794105820690135,1.159
34,c1.c32r32,32.0,32.0,0.0,0.0,1.2412962177836064,23.71136425754844,1.26
35,c1.c32r64,32.0,64.0,0.0,0.0,1.5846146186442187,47.38039800498166,1.5859999999999999
36,c1.c32r96,32.0,96.0,0.0,0.0,1.9279330195048308,71.04943175241488,1.8159999999999998
37,c1.c32r128,32.0,128.0,0.0,0.0,2.271251420365443,94.7184654998481,2.191
38,c1.c32r256 (beta),32.0,256.0,0.0,0.0,3.6445250238078915,189.39460048958094,3.688
40,c1.c64r256 (beta),64.0,256.0,0.0,0.0,4.452480427994955,188.87411716426453,4.381
